N° Incident;Open Date & Time;Assign To;Status;Customer;End Customer;N° Dossier Client;Country;HUB;Open By;Brend;Model;Component;Planning Date;Partner;Engineer;Couverture / Délais;Date limite;Etat;Groupe de l'opérateur;Close Date & Time;IB_SLA-GTI;IB_SLA-GTR;Serial #;IB_SLA-GBL
63928;11/17/2016 10:07:00 AM;SADDOLORATO;CLOSED;STORELINK - VITROCISET;STORELINK - VITROCISET;;Italy;Europe;SADDOLORATO;IBM;SERVER;HDD problem;11/18/2016 7:00:00 PM;TNT;Corriere;H+4 SITE;11/21/2016 11:59:00 AM;C;CALL;11/18/2016 5:06:27 PM;OK;;1332678;OK
63923;11/17/2016 9:21:09 AM;FPARISI;WAITING CLIENT;HP - SPM;TELECOM SPARKLE;5315031326;Italy;Europe;FPARISI;IBM;SERVER;HDD problem;;;;H+8;11/17/2016 5:21:09 PM;O;CALL;;NOK;;99B7870;NOK
63897;11/16/2016 5:44:49 PM;FPARISI;CLOSED;IBM - NIP;ENI COMACCHIO;A25X5JJ;Italy;Europe;FPARISI;CISCO;NETWORK;Network interface problem;11/17/2016 7:00:00 PM;CM Service;Carlo Martinelli;H+4 SITE;11/18/2016 12:12:53 PM;C;CALL;11/17/2016 5:29:45 PM;OK;;;OK
63892;11/16/2016 5:04:14 PM;FPARISI;CLOSED;IBM - NIP;ENI UDINE;A25X54W;Italy;Europe;FPARISI;CISCO;NETWORK;POWER problem;11/17/2016 7:00:00 PM;-;Mirco Borina;H+4 SITE;11/18/2016 12:42:16 PM;C;CALL;11/18/2016 8:39:58 AM;OK;;;OK
63877;11/16/2016 3:43:11 PM;DFURCAS;CLOSED;HP - SPM;TELECOM ROMA;5315003282;Italy;Europe;DFURCAS;IBM;SERVER;MOTHERBOARD problem;;;;H+8;11/18/2016 11:32:32 AM;C;CALL;11/18/2016 4:10:31 PM;OK;;;OK
63871;11/16/2016 3:10:20 PM;FPARISI;CLOSED;IBM - NIP;BMW ROMA;A25X5LZ;Italy;Europe;FPARISI;CISCO;NETWORK;TELEPHONE problem;11/18/2016 3:00:00 PM;TNT;CORRIERE;J+1;11/19/2016 8:54:25 AM;C;CALL;11/18/2016 9:28:39 AM;OK;;;OK
63870;11/16/2016 3:10:16 PM;FPARISI;CLOSED;IBM - NIP;BMW ROMA;A25X5LV;Italy;Europe;FPARISI;CISCO;NETWORK;TELEPHONE problem;11/18/2016 3:00:00 PM;TNT;CORRIERE;J+1;11/19/2016 8:54:41 AM;C;CALL;11/18/2016 9:29:11 AM;OK;;;OK
63869;11/16/2016 3:10:11 PM;FPARISI;CLOSED;IBM - NIP;BMW ROMA;A25X5LP;Italy;Europe;FPARISI;CISCO;NETWORK;TELEPHONE problem;11/18/2016 3:00:00 PM;TNT;CORRIERE;J+1;11/19/2016 8:55:00 AM;C;CALL;11/18/2016 9:29:21 AM;OK;;;OK
63868;11/16/2016 3:10:07 PM;FPARISI;CLOSED;IBM - NIP;BMW ROMA;A25X5LN;Italy;Europe;FPARISI;CISCO;NETWORK;TELEPHONE problem;11/18/2016 3:00:00 PM;TNT;CORRIERE;J+1;11/19/2016 8:55:23 AM;C;CALL;11/18/2016 9:29:33 AM;OK;;;OK
63867;11/16/2016 3:10:03 PM;FPARISI;CLOSED;IBM - NIP;BMW ROMA;A25X5LL;Italy;Europe;FPARISI;CISCO;NETWORK;TELEPHONE problem;11/18/2016 3:00:00 PM;TNT;CORRIERE;J+1;11/19/2016 8:55:42 AM;C;CALL;11/18/2016 9:29:42 AM;OK;;;OK
63866;11/16/2016 3:09:58 PM;FPARISI;CLOSED;IBM - NIP;BMW ROMA;A25X5LF;Italy;Europe;FPARISI;CISCO;NETWORK;TELEPHONE problem;11/18/2016 3:00:00 PM;TNT;CORRIERE;J+1;11/19/2016 8:56:07 AM;C;CALL;11/18/2016 9:29:54 AM;OK;;;OK
63865;11/16/2016 3:09:54 PM;FPARISI;CLOSED;IBM - NIP;BMW ROMA;A25X5L7;Italy;Europe;FPARISI;CISCO;NETWORK;TELEPHONE problem;11/18/2016 3:00:00 PM;TNT;CORRIERE;J+1;11/19/2016 8:56:41 AM;C;CALL;11/18/2016 9:30:06 AM;OK;;;OK
63864;11/16/2016 3:09:50 PM;FPARISI;CLOSED;IBM - NIP;BMW ROMA;A25X5L2;Italy;Europe;FPARISI;CISCO;NETWORK;TELEPHONE problem;11/18/2016 3:00:00 PM;TNT;CORRIERE;J+1;11/19/2016 8:57:10 AM;C;CALL;11/18/2016 9:30:20 AM;OK;;;OK
63856;11/16/2016 2:33:13 PM;DFURCAS;INTERVENTION;HP - SPM;TELECOM ORIOLO;5315006429;Italy;Europe;DFURCAS;IBM;SERVER;HDD problem;11/24/2016 3:00:00 PM;TTS;BENEDETTI / GALASSI;H+8;11/25/2016 1:36:17 PM;O;CALL;;NOK;;;NOK
